Text,Actual_Bullying,Predicted_Bullying,Actual_Type,Predicted_Type
the girl that bullied me in high school posted something about mental health awareness recently,Yes,No,age,not_cyberbullying
actually said was death threats misgendering and making fun of her appearancemaking dysphoric comments and even threatening rape that response is the exact reason why she is allowed to joke about something like that if gay men didnt go out of their way to ruin trans,Yes,Yes,gender,gender
rt a fucking body,Yes,No,other_cyberbullying,not_cyberbullying
awww she mad rt reporting live from white twitter rt fuck obama dumb ass nigger,Yes,Yes,ethnicity,ethnicity
civil rights movement that she believes she was black in a past life i was shocked and didnt have the language to articulate what was so wrong with that belief i still kick myself for not saying anything to her for letting it go i wish i had told her that if she actually 2,Yes,No,ethnicity,not_cyberbullying
if isis has nothing to do with islam then why doesnt it attract jews himdus buddhists taoists atheists christians why only muslims,Yes,Yes,religion,religion
ok ok u r right naa so pl tell about islamic terrorismgajbaa aee hindzehad hv u guts to say against islamic aatankwad all world facing this amp tell mee why all aatankwadi are from 1 community hv u guts to say against common civil code is coming wait,Yes,Yes,religion,religion
rt fuck obama dumb ass nigger dam this oversized martha stewart lookin ass hatin,Yes,Yes,ethnicity,ethnicity
oh katkarma bit you in the ass mkr,Yes,Yes,gender,other_cyberbullying
zzzz call me sexist but im yet to see a funny female comedian,Yes,Yes,gender,gender
magnificent,No,No,not_cyberbullying,not_cyberbullying
and here we are getting the raw end of the whole gay men are predatory and turn straight men stereotype all three of them threw out now straight guys think they have a free pass to make james charles tried to rape me jokes if its a stunt all are cancelled for real,Yes,Yes,gender,gender
rt im not sexist but i havent subscribed to a single female youtuber,Yes,Yes,gender,gender
how does milo have any good points when he denies rape culture when he bashes gay people when he makes racist jokes,Yes,Yes,gender,other_cyberbullying
dont start with that im brown bullshit you are black you are a nigger you are filthy amp disgusting oh,Yes,Yes,ethnicity,ethnicity
my brother still got his head stuck in my mums cooter fr they literally gossip n talk shit about me like high school bullies over the dumbest shit,Yes,No,age,not_cyberbullying
man you bulling,No,Yes,not_cyberbullying,other_cyberbullying
i will fuck this dumb nigger up,Yes,Yes,ethnicity,ethnicity
rt michael mutes all women sportscasters notsexist,Yes,Yes,gender,gender
snooor,No,No,not_cyberbullying,not_cyberbullying
rt i got no ass or titties but im still bad so wassup,Yes,No,other_cyberbullying,not_cyberbullying
anncio quem tiver piercing e tatuagem no poder realizar a pea teatral antibulling seria um mau exemplo aos expectadores,No,Yes,not_cyberbullying,other_cyberbullying
me stares at dad after he says something dumb dadfuck you ugly jew bitch me nigger dad youre adopted me dad yeah shut up jew,Yes,Yes,ethnicity,ethnicity
wowrt look at these dumb white ppl in the south fuck obama dumb ass nigger,Yes,Yes,ethnicity,ethnicity
oh dear,Yes,No,other_cyberbullying,not_cyberbullying
did you have a chance to do that thing we were discussing at ladieswholunchslc,No,No,not_cyberbullying,not_cyberbullying
get lost idiot if you can stand up for a muslim but not for a kashmiri pandit,Yes,Yes,religion,religion
i was bullied horribly in eyc thanks mean girls but loved serving as an acolyte and led our acolyte guild as a high school senior being an acolyte was a way to participate deeply without negotiating horrible social situations,Yes,No,age,not_cyberbullying
juegosdecolegio cuando me encerraban en el armario y le daban vueltas hasta que quedara con graves contusiones bullying mode on broma,No,Yes,not_cyberbullying,other_cyberbullying
guys piece of advice rape jokes are never funny i dont know much about women as a gay man but that i tell you with certainty,Yes,No,gender,not_cyberbullying
i sure am hungry for some scrambled eggs,Yes,No,other_cyberbullying,not_cyberbullying
just been told of another person m8s sister being intimidated by a double glazing salesman im guessing it was dunraven the bully boys,Yes,No,other_cyberbullying,not_cyberbullying
damn 5 niggers u to young for that young dumb fat thot lol this my pussy i fuck who i want amp fuck who i do,Yes,Yes,ethnicity,ethnicity
warped sense of relationship dynamics from watching too much yaoi puts everything into uke and seme boxes sexually harasses gay people rape jokeskink dead libido regarding her own self can only jack off to voyeur fantasies if i were a guy i would totally be gay,Yes,Yes,gender,gender
lmao at all the mean girls from high school retweeting the you were born pretty i was bullied into being pretty we are not the same tweet excuse me no you werent you were pretty growing up you were the ones that bullied other girls so stop fronting its ugly,Yes,Yes,age,other_cyberbullying
its unconfirmed tea but i have heard from a few sources who went to high school with hannah b and sydney that sydney was a mean girl and vandalized a classmates car and bullied hannah b so hard that she had a restraining order against her,Yes,Yes,age,other_cyberbullying
im a tank warcraft selfie,Yes,No,other_cyberbullying,not_cyberbullying
their radical ideology is why they hate us that we support israel is why they hate us that we are a christian nation is why they hate us they have been full of hatred for decades being nice to them doesnt work bribing them with billions didnt work,Yes,Yes,religion,religion
selfies are rad,No,No,not_cyberbullying,not_cyberbullying
nah a really bad data scientist with the worst sourcing methodologies ever,Yes,Yes,other_cyberbullying,other_cyberbullying
wow some girls shouldve been bullied in high school cause they really think theyre something else lmao,Yes,Yes,age,gender
thats the best you can is spout abuse because i have an opinion idiot if j witness a catholic or christian decided to pitch in a muslim neighborhood and just pray would they stand for it no so fck off england is not a muslim country,Yes,Yes,religion,religion
79 days left gtlt,Yes,No,other_cyberbullying,not_cyberbullying
ash and camilla is the peoples choice their dish were great mkr,No,No,not_cyberbullying,not_cyberbullying
any racists idiots who believe this please ask a muslim and go to a mosque mosques have probably one of the most strictest guidelines for the virus in the country you can not enter if you dont fulfil their criteria,Yes,No,religion,not_cyberbullying
what more can you say after watching this video for the idiots who believe otherwise wait until the next scamdemic hits and see if your immune system can handle it or not as humans our bodies were made to fight off viruses its called having a strong immune system,Yes,No,religion,not_cyberbullying
u piss me the fuck off dumb nigger making a book really no one wants to hear your story bitch cuz u aint shit,Yes,Yes,ethnicity,ethnicity
