Text,Actual_Bullying,Predicted_Bullying,Actual_Type,Predicted_Type
the girl that bullied me in high school posted something about mental health awareness recently,Yes,No,age,not_cyberbullying
actually said was death threats misgendering and making fun of her appearancemaking dysphoric comments and even threatening rape that response is the exact reason why she is allowed to joke about something like that if gay men didnt go out of their way to ruin trans,Yes,Yes,gender,gender
rt a fucking body,Yes,No,other_cyberbullying,not_cyberbullying
awww she mad rt reporting live from white twitter rt fuck obama dumb ass nigger,Yes,Yes,ethnicity,ethnicity
civil rights movement that she believes she was black in a past life i was shocked and didnt have the language to articulate what was so wrong with that belief i still kick myself for not saying anything to her for letting it go i wish i had told her that if she actually 2,Yes,No,ethnicity,not_cyberbullying
if isis has nothing to do with islam then why doesnt it attract jews himdus buddhists taoists atheists christians why only muslims,Yes,Yes,religion,religion
ok ok u r right naa so pl tell about islamic terrorismgajbaa aee hindzehad hv u guts to say against islamic aatankwad all world facing this amp tell mee why all aatankwadi are from 1 community hv u guts to say against common civil code is coming wait,Yes,Yes,religion,religion
rt fuck obama dumb ass nigger dam this oversized martha stewart lookin ass hatin,Yes,Yes,ethnicity,ethnicity
oh katkarma bit you in the ass mkr,Yes,Yes,gender,other_cyberbullying
zzzz call me sexist but im yet to see a funny female comedian,Yes,Yes,gender,gender
magnificent,No,No,not_cyberbullying,not_cyberbullying
and here we are getting the raw end of the whole gay men are predatory and turn straight men stereotype all three of them threw out now straight guys think they have a free pass to make james charles tried to rape me jokes if its a stunt all are cancelled for real,Yes,Yes,gender,gender
rt im not sexist but i havent subscribed to a single female youtuber,Yes,Yes,gender,gender
how does milo have any good points when he denies rape culture when he bashes gay people when he makes racist jokes,Yes,Yes,gender,other_cyberbullying
dont start with that im brown bullshit you are black you are a nigger you are filthy amp disgusting oh,Yes,Yes,ethnicity,ethnicity
my brother still got his head stuck in my mums cooter fr they literally gossip n talk shit about me like high school bullies over the dumbest shit,Yes,No,age,not_cyberbullying
man you bulling,No,No,not_cyberbullying,not_cyberbullying
i will fuck this dumb nigger up,Yes,Yes,ethnicity,ethnicity
rt michael mutes all women sportscasters notsexist,Yes,Yes,gender,gender
snooor,No,No,not_cyberbullying,not_cyberbullying
rt i got no ass or titties but im still bad so wassup,Yes,No,other_cyberbullying,not_cyberbullying
anncio quem tiver piercing e tatuagem no poder realizar a pea teatral antibulling seria um mau exemplo aos expectadores,No,Yes,not_cyberbullying,other_cyberbullying
me stares at dad after he says something dumb dadfuck you ugly jew bitch me nigger dad youre adopted me dad yeah shut up jew,Yes,Yes,ethnicity,religion
wowrt look at these dumb white ppl in the south fuck obama dumb ass nigger,Yes,Yes,ethnicity,ethnicity
oh dear,Yes,No,other_cyberbullying,not_cyberbullying
did you have a chance to do that thing we were discussing at ladieswholunchslc,No,No,not_cyberbullying,not_cyberbullying
get lost idiot if you can stand up for a muslim but not for a kashmiri pandit,Yes,Yes,religion,religion
i was bullied horribly in eyc thanks mean girls but loved serving as an acolyte and led our acolyte guild as a high school senior being an acolyte was a way to participate deeply without negotiating horrible social situations,Yes,No,age,not_cyberbullying
juegosdecolegio cuando me encerraban en el armario y le daban vueltas hasta que quedara con graves contusiones bullying mode on broma,No,Yes,not_cyberbullying,other_cyberbullying
guys piece of advice rape jokes are never funny i dont know much about women as a gay man but that i tell you with certainty,Yes,No,gender,not_cyberbullying
where is your evidence that any of these people are nazis putin troll,No,No,not_cyberbullying,not_cyberbullying
i sure am hungry for some scrambled eggs,Yes,No,other_cyberbullying,not_cyberbullying
just been told of another person m8s sister being intimidated by a double glazing salesman im guessing it was dunraven the bully boys,Yes,No,other_cyberbullying,not_cyberbullying
damn 5 niggers u to young for that young dumb fat thot lol this my pussy i fuck who i want amp fuck who i do,Yes,Yes,ethnicity,ethnicity
warped sense of relationship dynamics from watching too much yaoi puts everything into uke and seme boxes sexually harasses gay people rape jokeskink dead libido regarding her own self can only jack off to voyeur fantasies if i were a guy i would totally be gay,Yes,Yes,gender,other_cyberbullying
lmao at all the mean girls from high school retweeting the you were born pretty i was bullied into being pretty we are not the same tweet excuse me no you werent you were pretty growing up you were the ones that bullied other girls so stop fronting its ugly,Yes,Yes,age,other_cyberbullying
its unconfirmed tea but i have heard from a few sources who went to high school with hannah b and sydney that sydney was a mean girl and vandalized a classmates car and bullied hannah b so hard that she had a restraining order against her,Yes,Yes,age,other_cyberbullying
im a tank warcraft selfie,Yes,No,other_cyberbullying,not_cyberbullying
their radical ideology is why they hate us that we support israel is why they hate us that we are a christian nation is why they hate us they have been full of hatred for decades being nice to them doesnt work bribing them with billions didnt work,Yes,Yes,religion,religion
selfies are rad,No,No,not_cyberbullying,not_cyberbullying
nah a really bad data scientist with the worst sourcing methodologies ever,Yes,No,other_cyberbullying,not_cyberbullying
wow some girls shouldve been bullied in high school cause they really think theyre something else lmao,Yes,Yes,age,gender
thats the best you can is spout abuse because i have an opinion idiot if j witness a catholic or christian decided to pitch in a muslim neighborhood and just pray would they stand for it no so fck off england is not a muslim country,Yes,Yes,religion,religion
79 days left gtlt,Yes,No,other_cyberbullying,not_cyberbullying
ash and camilla is the peoples choice their dish were great mkr,No,No,not_cyberbullying,not_cyberbullying
any racists idiots who believe this please ask a muslim and go to a mosque mosques have probably one of the most strictest guidelines for the virus in the country you can not enter if you dont fulfil their criteria,Yes,No,religion,not_cyberbullying
what more can you say after watching this video for the idiots who believe otherwise wait until the next scamdemic hits and see if your immune system can handle it or not as humans our bodies were made to fight off viruses its called having a strong immune system,Yes,No,religion,not_cyberbullying
turning it into a block list could be pretty rad too,Yes,No,other_cyberbullying,not_cyberbullying
u piss me the fuck off dumb nigger making a book really no one wants to hear your story bitch cuz u aint shit,Yes,Yes,ethnicity,ethnicity
rt pretty sure i just saw you in silicon valley,Yes,No,other_cyberbullying,not_cyberbullying
im not complaining but do the black men who apply for this show do anything outside of education the past 3 seasons theyve all been in that field marriedatfirstsight mafs,Yes,Yes,ethnicity,ethnicity
rt what idiot named them jet skis instead of boatercycles,Yes,No,other_cyberbullying,not_cyberbullying
hello what are you doing,No,No,not_cyberbullying,not_cyberbullying
this is a step down dhscs original plan was just to have everyones school bully sit over their shoulder and go huh sarcastically with every bite,Yes,No,age,not_cyberbullying
kats face i want to slap her seriously i hope they go but it doesnt look good if they pass they wont last they cant cook mkr,Yes,Yes,gender,other_cyberbullying
well its been a great start to the week with an interesting email arriving this morning happy days,No,No,not_cyberbullying,not_cyberbullying
pvp time selfie warlords,Yes,No,other_cyberbullying,not_cyberbullying
so now there bully from middle school is back,Yes,No,age,not_cyberbullying
what the fuck you dumb nigger why did you go and copyright claim ksis video u dumb fuck just tryna make money,Yes,Yes,ethnicity,ethnicity
i have a stomach ache,No,No,not_cyberbullying,not_cyberbullying
at least the promogirls might have a future in creating new ben amp jerrys flavours mkr icecreamqueens offal and marrow,Yes,Yes,gender,gender
what i mean by the good ones is that some teachers are mentally unfit to teach kids in elementary school i got called names by teachers in middle and high school i got mean spirited nicknames by teachers and coaches they were nothing more than bullies,Yes,Yes,age,other_cyberbullying
are you a true muslim you collaborate with christians and ruin your country but are you a true muslim god cause these idiots the official government recognized by the united nations invited us there you support coup rebels terrorists,Yes,Yes,religion,religion
im not sure ive never been down the track of art so i dont have much to say about that,Yes,No,other_cyberbullying,not_cyberbullying
gosh golly how dare she respond,No,No,not_cyberbullying,not_cyberbullying
sexist rape culture only exists when straight men are doing it if liberals especially gay ones do it theyre aok doublestandards,Yes,Yes,gender,gender
how do you respond to your bully in school trying to friend you on facebook 32 years and i still hate his guts,Yes,No,age,not_cyberbullying
why are we letting them just take advantage of this little old lady whom by many accounts is senile,Yes,Yes,other_cyberbullying,age
nada cont un psimo chiste digno de bullying similar al de ninel o de las seitasdepolanco,No,Yes,not_cyberbullying,other_cyberbullying
i was browsing through netflix to find something that i could watch then saw 17 again and wanted to watch the part where he shut down a bully and school him i ended up watching the whole movie and cried at the ending welp,Yes,No,age,not_cyberbullying
video miley cyrus makes date rape joke at gay nightclub,Yes,No,gender,not_cyberbullying
idiotim not a muslimbut basically you must know the power of religions,Yes,Yes,religion,religion
when the girl yall bullied in high school gets her changes reverted smh,Yes,Yes,age,gender
and cohesive force for these loose gathering is quranmohammad same as is with isis taliban pfi terrorists etc,Yes,Yes,religion,religion
fuck hym if he is dats sum dirty shyt and if i ever find muy tablet in that bitch nigger house ima kill his dumb lil ass,Yes,Yes,ethnicity,ethnicity
you think your pathetic digs that sound like a high school bully mean anything i am sure they make you feel all giddy about your own pathetic life,Yes,Yes,age,other_cyberbullying
rt am not sexist but feminists dont half milk the men are all the same bollocks,Yes,Yes,gender,gender
rt i am proud to announce this nonprofit organizationu r fatgod i love working on the internet,No,No,not_cyberbullying,not_cyberbullying
when we see stop on the capitol steps to call disgusting evil dangerous to his face and toss off a venemous fucking bitch at him as he walks away then ill concede hes treating male peers equally to female peers victorian standards indeed,Yes,Yes,gender,gender
america has always called out the national guard on black americans citizens nothing has changed these devils has always frightened these talking head negro to death from speaking the turth of white folkes terrorist hatred for us when will you standup black people,Yes,Yes,ethnicity,ethnicity
irrelevant girl give it 5 years shes going to lose sexual market value then ill ask her to pass the bag,Yes,Yes,gender,gender
if you did your research you wouldnt need to be educated the national language of somalia is somali idiot arabic is there because majority are muslim,Yes,Yes,religion,ethnicity
i you wish i can send you many similar pics from your army who were living in hell and went straight thereif you were capable of ruling hindustan than it was not ruled by muslims for 800 years idiot,Yes,Yes,religion,religion
okay cool youre trying to bash kevin for saying gay but youre making rape jokes what the fuck,Yes,Yes,gender,other_cyberbullying
ok gotcha thought u were comparing these so called radical christians to what were witnessing w radical terrorist muslims across the globe or warring israeli jews but what u have are christianzionists guilty by association thru their support of zionism,Yes,Yes,religion,religion
it technically a surgery you dumb fuck so know your fucking facts faggot nigger ass bitch fuck you you queer fuck,Yes,Yes,ethnicity,other_cyberbullying
david corns collegial exuberant r the new im gay by kevin spacey disgusting excuses 4 sexual predator behavior who jokes about rape,Yes,Yes,gender,gender
im baffled and disgusted who raised these bitches mann,Yes,Yes,age,gender
i went to high school in the regional gay capital of australia and you better believe the school was the most homophobic unsafe place ive ever been to i was bullied relentlessly bc i said id kiss a girl for a million dollars jokes on them i kiss girls for free now,Yes,Yes,age,gender
bullying needs stop stopbullying,No,No,not_cyberbullying,not_cyberbullying
rt omgcant wait until try hards crazy eyed kat amp douch bag go home she cant cheat anymore so im guessing that will b,Yes,Yes,gender,other_cyberbullying
grade school bullies have grown up to be antifa boys,Yes,Yes,age,other_cyberbullying
fest mishkin recently kicked ass on the red bull bedroom jam stage at hevy festival roomthirteencom caught,No,No,not_cyberbullying,not_cyberbullying
possibly want to see how this evolves internet video conf may become a thing,No,No,not_cyberbullying,not_cyberbullying
see look u white so i dont expect u to understand what the significance of this is cuz u never had to look at anything past the surface but its bigger that the ncaa tunery he obviously doesnt care its abt changeing the culture for young black men dummy,Yes,Yes,ethnicity,ethnicity
jackbooted thugs hired by the school yard bully with small hands,Yes,Yes,age,other_cyberbullying
i was literally 6ft tall all through high school and was never once bullied to my face anyway idk because i was a big bad bitch and people in my gradebelow were scared of me and the older grades didnt give a fuck so tall girl isnt that realistic,Yes,No,age,not_cyberbullying
pussy licking pussy meow meow stopwhitepeople2014 128049 think about how passwords work are they stored in plaintext can the provider easily decrypt them nope im living proof that fat people can glam fashion it up despite most of those plus size sites having the ugliest clothes what i am a lesbian it is my job to hate cishet men i signed a damn contract the place next to little caesars on san pablo in emeryville i played the video for him and he stopped i have some pretty fantastic wonderwoman stuff but i prefer marvel hands down dc chars seem to emo it is great to hear that theres more women getting involved with freebsd the community is fantastic and has always been supportive while you can hire a lawyer to help you speak to the police thats kind of where their and your involvement ends my 13 yr old cousins fb status were depressing iasked if she was okthen if she was being bullied she wrote back only by you at the moment just change your profile picname to a woman pref wbrightly colored hair tweet out gamers are dead or games are sexist,Yes,Yes,other_cyberbullying,gender
id send that deconstructed shit back mkr,No,No,not_cyberbullying,not_cyberbullying
rt xxxtentacions fan base is fucking cancerous,Yes,Yes,other_cyberbullying,other_cyberbullying
i agree he is just like the prophet mohammed,Yes,No,religion,not_cyberbullying
,No,No,not_cyberbullying,not_cyberbullying
in regards to being harassed by gamergate i was just told let your experience better you as a woman instead of seeking sympathy,Yes,Yes,other_cyberbullying,gender
rt fuck obama dumb ass niggerltltltltdis bitch wtf,Yes,Yes,ethnicity,ethnicity
thats right she stands as a christian woman who lies,Yes,Yes,religion,religion
freedom needs everyone thank you so much for the fav feminazi psychology humour cdnpoli tlot,Yes,Yes,gender,gender
finally consensual homosexual sex has been decriminalized section377 on the mentality part it is time to slowly erode away the insult dont act gay just like using the word rape casually in a joke to mean misfortune,Yes,No,gender,not_cyberbullying
rt why starbucks spells your name wrong,No,No,not_cyberbullying,not_cyberbullying
white black yellow or brown has nothing to do with your actions your attitudes towards any person starts in the heart the social justice warriors are trying to fan the flames of hatred based on the past in america you can achieve anything if youre willing to work hard,Yes,No,ethnicity,not_cyberbullying
in thee upset of the millennium new kid shows up to school and knocks the lunch tray out of the bullys hands then punches him in the gut and knees him in the nose,Yes,No,age,not_cyberbullying
i just couldnt ever develop lasting romantic feelings for anyone that prefered dampd 4th edition over 35,Yes,No,other_cyberbullying,not_cyberbullying
i didnt understand basic stuff like how to heal up do i have to have potions can i sleep,Yes,No,other_cyberbullying,not_cyberbullying
rt rt fuck obama dumb ass nigger,Yes,Yes,ethnicity,ethnicity
2 much effort,Yes,No,other_cyberbullying,not_cyberbullying
next year on my kitchen rules we may eventually get past the fucking instant restaurant rounds mkr,No,No,not_cyberbullying,not_cyberbullying
i know that muslim bigotry has driven all the christians out of palestine,Yes,Yes,religion,religion
the bord mkr,No,No,not_cyberbullying,not_cyberbullying
poor ben,Yes,No,gender,not_cyberbullying
a girl who were bullying me like 5 years ago left the school like four years ago cause inwas bullying her but she started and then everyone was like lori is a bully i dont like this story,Yes,Yes,age,other_cyberbullying
saw a girl who bullied me in high school while shopping and she said you look so good you lost weight way better than in high school and so i said thanks i almost died and now i am having trouble recovering and it was the biggest power move,Yes,No,age,not_cyberbullying
are you making a gay rape joke rape is not funny you are sick gayrights humanrights nazi metoo feminism,Yes,Yes,gender,gender
why on earth did i take this god awful fucking shift oh my god,Yes,No,other_cyberbullying,not_cyberbullying
fuck you pussy,Yes,Yes,other_cyberbullying,other_cyberbullying
oh like selling shoes i worked at a clothing store when i was going to school fucking hated it with all of my heart,Yes,No,other_cyberbullying,not_cyberbullying
1 bedroom apartment,Yes,No,other_cyberbullying,not_cyberbullying
rt and that is how forcesargeras finally decided to abandon gamergate,No,No,not_cyberbullying,not_cyberbullying
to hide and cover up islamic terrorism and ur hate against hindus u call modi terrorist modi faced all investigations under upa ruleu hav no faith in indian judiciary if it doesnt appease u,Yes,Yes,religion,religion
yeah islamic blasphemy law doesnt apply in non muslim countries i know this is confusing for people and in free countries people can act like idiots dont let random tiny newspaper articles that have no influence stop you from freeing slaves in libya mali mauritania saudi,Yes,No,religion,not_cyberbullying
ahahaa d i dont bully him deep in my heart the bullying means i love him d,Yes,No,other_cyberbullying,not_cyberbullying
41 follower bum asss lmaoooo dont be picking on other people just cause you got bullied in high school sheesh and dont be mad you cant get a girl thats as beautiful as mine,Yes,Yes,age,other_cyberbullying
the perfect tour would be the devil wears prada a day to remember miss may i and memphis may fire make it happen,No,No,not_cyberbullying,not_cyberbullying
soon they will have to ask their uneducated moronic madrassa rats to do surgery a butcher knife and a prayer,Yes,Yes,religion,religion
he embellished the afternoon with moustachioed feints amp flicks by throwing him an england shirt mercer made a statement about the game zoe is rocking the stage another home visits round im literally fucking done mkr today has finally arrived gkmc im fucking going to san francisco on tuesday im on the edge of glory there were no us commandos i hate these girls far out mkr rt bless i totally forgot about the party favourite shaz mkr i went old school and changed my other accounts name back to which was my original twitter name back in 0809 face the dregs of humanity see how truly foul they are and fight back so fuck robert a douglass bully beatdown got a girl bully this time i cant feeling so sorry for the girls they should be safe and kat and andre should be going home mkr my patreon is acting weird just got a monthly payment yay but when i go to how i get paid it says i need to become a creator,No,No,not_cyberbullying,not_cyberbullying
my middle school bully just posted an insta pic and hes ugly the amount of joy i feel rn,Yes,Yes,age,other_cyberbullying
sympathy levels rising were still two hot blondes amp its gone mkr,Yes,No,gender,not_cyberbullying
the show jokes about rape domestic abuse suicide roadkill and people get mad at gay jokes are you kidding me,Yes,No,gender,not_cyberbullying
went to my support group at guys hospital today with one of my daughters debbie she bought me lunch on the bank of the river thames then went to the meeting had a talk about radical prostatectomy by mr christian brown really interesting chatted with the group nice day,Yes,No,religion,not_cyberbullying
nothing justifies the existence of any muslim country all muslim land is stolen land,Yes,Yes,religion,religion
hollywood the media are disgusting the media does gay prison rape jokes about stone even worse ones about catholic school children young men watch bill maher attacks covington catholic students in disgusting tirade jokes about pedophilia,Yes,Yes,gender,other_cyberbullying
christians in nigeria face immense persecution fearing abduction torture and murder by radical islamic jihadists just before one pastor was killed he boldly told the world dont worry but thank god for everythingsupport aclj,Yes,No,religion,not_cyberbullying
i would never blame my mental illness on someone else like ever i will however find it interesting that several girls who bullied me in middle and high school loved and hugged my latest fb post on self harm recovery very interesting,Yes,No,age,not_cyberbullying
youre my feminazi godmother xxx,Yes,Yes,other_cyberbullying,gender
abeee oyeeemc r bc tunee kabhee islamic terrorism kee khilaf kuch bola hai hv u guts to say anything no why bcz this belongs to ur ok 2nd how much money hv to donate for nation 3rd what u have done for poor people in this lockdown period gyada gyan nah,Yes,Yes,religion,religion
so funny cause ive always ended up being good friends with the school bullies lol and im not sure why or how cause im so friendly i dont need mhleli replying to this tweet thanks,Yes,No,age,not_cyberbullying
proof mohammed was a pedophile,Yes,Yes,religion,religion
yes i know about s account its being looked into,No,No,not_cyberbullying,not_cyberbullying
